ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
BHR,LODGING,12/31/16,3/13/20,2/28/17,53279.72,0,1256997000,12.447,-6808000,164645000,62204000,845000,2.682,764616000,0,11591000,0,0.035,0.12,10771000,22362000,0.238,956000,-0.01,-0.01,308796000,939617021,15,8.718,16487000,0.665,31773000,0.338,22846000,9815000,1834122000,1479000,17654000,828060000,339646021,-1835000,0,-4000,-1985000,-4595000,-10651000,-14479000,0,23295000,0,404000,-590000,0,441000,-0.006,17847000,13926000,53349000,-12,1.1,21.975,22.895,1014532000,994000,13.05,0.837,0.857,28903000,-93254000,93977000,0,617000,-2128000,1,26026515,24809000,29119000,3.788,1234151000,0,552000,0,49.746,2016,12,4
CLI,OFFICE,12/31/16,4/24/20,2/28/17,103940.67,1985000,4296766000,17.013,112367000,85563000,66582000,16764000,1.683,2340009000,0,51793000,46442000,0.021,0.15,37912000,89705000,0.584,15181000,0.17,0.17,1527171000,4873419005,23,12.224,107684000,1.2,87149000,0.567,0,22731000,6551212000,0,320047000,2570079000,2618973005,10056000,-3287000,0,-77828000,-14991000,-130765000,145504000,38071000,-4683000,0,15181000,15181000,0,1583000,0.099,65039000,22110000,159874000,0.882,1.715,22.342,22.252,3512537000,0,29.15,4.27,4.265,110669000,-1052184000,153731000,0,0,12968000,1,89844700,89767000,100534000,1.713,4296766000,0,0,0,47.866,2016,12,4
JBGS,OFFICE,12/31/16,2/26/20,6/21/17,157634.71,0,3660640000,17.95,,32263000,,,0.725,1165014000,0,,0,,0,,,,,,,2121689000,,,,,,,,3063000,,4790328000,0,49763000,1538656000,,,,,,,,,,,,,,,,,,,324155000,,,,,3224622000,,,,,245024000,,,,,,1,118200851,118200851,,,3657577000,0,,0,30.944,2016,12,4
WPC,NET LEASE,12/31/16,5/2/20,2/24/17,178445.14,-254485000,8453954000,30.715,-800000,155482000,45157000,48470000,1.523,4440814000,0,63691000,0,0.061,0.99,99443000,163134000,0.713,55530000,0.44,0.44,3301667000,11123912034,24,15.152,155438000,1.446,183623000,0.803,1883489000,43913000,10855797000,0,298893000,5027849000,6838580034,-54001000,-237500000,248000,140129000,-106146000,39349000,-241822000,2951000,156238000,-7766000,47704000,47704000,0,766000,0.209,99407000,84216000,374007000,2.25,2.071,25.541,25.728,5511706000,0,64.32,7.263,7.292,299610000,-893827000,228780000,0,2704000,27281000,1,106321207,107492613,107733290,2.128,6570465000,0,7826000,90825000,61.125,2016,12,4
PK,LODGING,12/31/16,2/28/20,3/2/17,236726.29,-67000000,9834000000,19.595,,350000000,,,1.552,3012000000,0,,0,0.104,2.79,,,,,,,3872000000,7957819226,20,11.434,,,,,648000000,,11848000000,0,81000000,6011000000,5295819226,,,,,,,,,,,,,,,,,,468000000,,1.368,39.818,,8541000000,,26.8,1.942,1.942,130000000,,,,,,1,197605195,197605195,,,9186000000,0,,2437000000,46.487,2016,12,4
CONE,DATA CENTER,12/31/16,4/30/20,2/24/17,116051.57,-1300000,2852400000,14.136,-174600000,14600000,47800000,800000,1.455,1386600000,76700000,49300000,0,0.03,0.38,12700000,62000000,0.451,1300000,0,0,1162000000,5536551640,79,21.763,-135600000,-1.65,89600000,0.652,605300000,11400000,3619100000,0,0,1690400000,4164551640,3600000,0,100000,171100000,-31500000,139200000,-174600000,0,39000000,0,800000,800000,0,0,0.006,76900000,12700000,227100000,,3.584,209.274,207.958,2023100000,0,49.91,7.871,7.386,83300000,-249800000,137400000,0,3800000,21900000,1,83441227,82200000,83200000,1.672,2247100000,0,500000,0,27.337,2016,12,4
VER,NET LEASE,12/31/16,2/27/20,2/23/17,1081496.42,-2556000,15587574000,8.672,-2209000,301470000,38830000,-118223000,0.825,6367248000,0,196257000,0,0.062,0.138,-45880000,150377000,0.427,-120493000,-0.14,-0.14,8447361000,14764574746,125,15.973,193665000,0.199,313039000,0.89,1486812000,74613000,20166540000,0,155511000,6968041000,8698796746,139834000,-638523000,0,-186756000,-152080000,-339346000,283306000,511000,195874000,0,-115418000,-115418000,0,-2805000,-0.328,365710000,-52671000,308731000,-0.986,1.03,-44.413,-30.793,13252799000,0,8.93,5.979,5.979,21349000,-4200423000,351869000,0,3631000,44353000,1,974109378,974109378,,0.361,14100762000,0,-5075000,0,14.476,2016,12,4
JBGS,OFFICE,12/31/16,2/26/20,5/15/17,157634.71,0,3705748000,18.331,,32263000,,,0.71,1165014000,0,,0,,0,,,,,,,2166797000,,,,,,,,3063000,,4835436000,0,94871000,1538656000,,,,,,,,,,,,,,,,,,,324155000,,,,,3224622000,,,,,245024000,,,,,,1,118200851,118200851,,,3702685000,0,,0,31.325,2016,12,4
SITC,STRIP CENTER,12/31/16,4/30/20,2/21/17,194226.88,-4192000,8197518000,17.665,-324340000,39225000,64009000,34034000,1.529,4493968000,0,99468000,0,0.052,0.38,85481000,184949000,0.77,33741000,0.16,0.16,3237515000,9795254811,35,14.683,-211406000,-1.154,176252000,0.734,0,51740000,12652261000,0,454131000,4951506000,5340511811,9773000,767153000,5431000,-472408000,-75143000,-542375000,439214000,-4207000,112934000,-1000,33741000,28147000,0,293000,0.117,126438000,49814000,382293000,2.375,1.65,141.895,145.7,7247882000,5594000,29.14,5.31,5.31,170870000,-2632327000,240261000,0,2321000,20941000,1,183270824,183270824,,1.311,8197518000,0,0,0,44.729,2016,12,4
AKR,STRIP CENTER,12/31/16,2/22/20,2/24/17,90906.01,-798000,3995960000,18.754,-258484000,94709000,19600000,34236000,1.144,1558847000,0,23267000,0,0.036,0.41,29336000,52603000,1.511,19593000,0.23,0.23,1588577000,4227199149,39,23.838,-203217000,-2.399,15223000,0.437,0,9743000,5460098000,0,548191000,1817835000,2763061149,22563000,24463000,92868000,74986000,-19660000,202530000,-235234000,-9149000,55267000,0,19821000,19821000,0,14415000,0.569,33173000,-17950000,208672000,1.783,1.739,37.967,34.702,3116432000,0,32.62,14.547,14.547,43842000,-5635000,34823000,0,3966000,9906000,1,84704511,84704511,,0.411,3995960000,0,-228000,0,47.175,2016,12,4
