ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
WPC,NET LEASE,6/30/12,5/2/20,8/7/12,178445.14,-11096000,1438615000,17.354,22442000,39800000,26319000,31230000,1.012,579692000,0,7173000,0,0.049,0.57,37141000,44314000,0.651,29895000,0.78,0.77,694978000,2404440193,22,16.99,38307000,0.957,41723000,0.613,121402000,7246000,1857105000,0,0,703252000,1864548193,9087000,0,1443000,-21778000,-23221000,-38361000,31916000,8636000,15865000,-333000,31777000,31777000,529000,-547000,0.467,34318000,7405000,85908000,0.731,2.683,23.795,24.063,1189233000,0,46.2,6.683,6.632,33908000,-99653000,68042000,0,4494000,26582000,1,40358186,40047220,40757055,1.699,1317213000,0,-1882000,37652000,32.891,2012,6,2
AKR,STRIP CENTER,6/30/12,2/22/20,8/8/12,90906.01,-4484000,1854264000,9.669,-71990000,86153000,13448000,11176000,2.142,854854000,0,10147000,0,0.03,0.18,16625000,26772000,0.631,7878000,0.15,0.15,445688000,1865325887,31,19.255,-50750000,-1.101,28978000,0.683,27028000,8747000,2595937000,0,164207000,954798000,1096624887,16793000,8663000,52816000,6414000,-7807000,75855000,-80302000,-15419000,21240000,0,6839000,6839000,-2735000,4337000,0.161,15364000,13614000,37763000,1.2,2.461,48.21,44.887,1485871000,0,23.79,7.061,7.061,29545000,34161000,42426000,0,988000,5217000,1,46096044,46096044,,0.92,1827236000,0,1039000,0,39.64,2012,6,2
O,NET LEASE,6/30/12,2/24/20,7/26/12,344630.73,0,4576559000,18.65,-216605000,6064000,2090000,43407000,0.851,1990261000,0,35310000,0,0.046,0.292,72618000,107928000,0.933,43812000,0.25,0.25,2472883000,7443375821,26,17.813,-110998000,-0.837,113553000,0.982,17094000,28806000,6543662000,0,0,2103676000,5459178821,870000,0,805000,133396000,-58360000,99629000,-204366000,-2100000,105607000,0,43407000,32950000,-3813000,0,0.285,44748000,68805000,82490000,1.168,2.208,42.424,41.745,4304181000,10457000,40.91,12.102,12.025,17600000,-703628000,115643000,0,2594000,9273000,1,133443628,132592939,132828540,0.872,4559465000,0,405000,0,34.387,2012,6,2
VER,NET LEASE,6/30/12,2/27/20,8/1/12,1081496.42,-13000,201166000,7.514,-58169000,2107000,121000,-2126000,1.282,105153000,0,1456000,0,0,0,-1157000,299000,0.089,-2040000,-0.28,-0.28,83887000,222943247,-87,135.775,-57914000,-5.188,3227000,0.964,0,883000,304212000,0,0,107504000,119897247,1339000,0,30328000,24693000,-1650000,59253000,-58169000,0,255000,0,-2040000,-2040000,77000,-86000,-0.609,4386000,-1159000,1656000,0,1.429,-22.929,-13.769,191931000,0,10.74,12.665,12.665,0,-9915000,3348000,0,183000,495000,1,11163617,11163617,,0.3,201166000,0,0,0,18.02,2012,6,2
ROIC,STRIP CENTER,6/30/12,4/23/20,8/3/12,128529.92,-17609244,770730279,8.869,-52245910,13724365,5016682,4424752,0.697,234882078,0,7017542,1787320,0.038,0.13,7181860,14199402,0.784,4424752,0.09,0.09,454252841,853670385,48,19.502,-46479580,-0.908,13101690,0.723,0,2757108,991887992,0,0,316475049,632512672,-584987,165711,10822065,41934943,-6562135,45792752,-52144069,0,5766330,0,4424752,4424752,0,0,0.244,10244601,2857089,4655851,1.444,1.392,75.926,68.611,696183191,0,12.35,9.736,9.736,9414203,-26615522,18118372,0,769932,2596688,1,51215601,51215601,,0.354,770730279,0,0,0,15.049,2012,6,2
WRI,STRIP CENTER,6/30/12,2/28/20,8/9/12,130396.35,-26554000,4218153000,13.447,281964000,15097000,39059000,32761000,1.485,2194685000,0,34509000,0,0.053,0.29,60510000,95019000,0.756,31199000,0.19,0.19,1630554000,5479056655,31,16.542,346297000,2.856,86561000,0.689,0,29311000,6397741000,0,407144000,2420884000,3299468655,-2927000,11490000,-458000,-295527000,-43371000,-337598000,270338000,0,64333000,0,31419000,22550000,-35323000,1342000,0.18,13739000,72822000,114660000,1.526,2.024,220.523,226.75,3409500000,8869000,27.21,6.314,6.314,71267000,-339904000,125620000,0,0,6378000,1,121259414,121259414,,1.036,4218153000,0,-220000,0,34.786,2012,6,2
SITC,STRIP CENTER,6/30/12,4/30/20,8/9/12,194226.88,-30875000,7583948000,20.952,74360000,42296000,56610000,-37380000,1.369,4095785000,0,0,0,0.026,0.24,17117000,17117000,0.088,-37500000,-0.32,-0.32,3186129000,8579009348,65,23.718,144083000,0.947,138133000,0.709,0,54617000,11637437000,0,562413000,4362820000,4525520348,2524000,-254469000,300391000,-148171000,-40269000,110177000,-177376000,804000,69723000,-107000,-37500000,-44467000,-3801000,120000,-0.228,162919000,-24786000,226183000,-0.75,1.42,-38.284,-34.605,6678727000,6967000,29.76,5.943,5.943,62498000,-1627030000,194743000,0,0,19131000,1,152067216,152067216,,1.281,7583948000,0,0,0,49.872,2012,6,2
PLD,INDUSTRIAL,6/30/12,5/1/20,8/7/12,764100.94,-333811000,28415563000,29.284,-318126000,444815000,147106000,4668000,1.058,12433585000,0,187777000,0,0.033,0.28,137950000,325727000,0.625,10004000,-0.02,-0.02,13466971000,27541259280,35,17.67,-229456000,-0.499,373642000,0.718,0,127946000,40404333000,0,2465826000,14245996000,15552489280,-50105000,155621000,4473000,88697000,-130980000,-159150000,13265000,0,88670000,7110000,1929000,-8120000,-11071000,2739000,-0.016,266598000,107044000,600019000,-14,1.155,76.137,75.022,24166196000,10049000,33.76,7.856,7.842,168008000,-3159462000,520748000,0,9046000,51415000,1,460678000,459878000,459878000,1.132,28415563000,0,8075000,0,61.789,2012,6,2
FR,INDUSTRIAL,6/30/12,4/29/20,8/3/12,131449.21,-8233000,2671180000,11.752,-61335000,5136000,27116000,-10366000,1.542,1482319000,0,32757000,25465000,0,0,16998000,49755000,0.594,-4174000,-0.16,-0.16,1033973000,2632985882,31,11.8,-31255000,-0.355,56704000,0.676,0,21172000,4148363000,0,1258000,1594368000,1155802882,3040000,-179000,-70000,39950000,0,34175000,-61215000,299000,30080000,-8000,-9528000,-14326000,-2445000,-838000,-0.171,36202000,20502000,70212000,0,1.118,-36.776,-36.111,2404401000,4798000,13,3.514,3.477,54265000,-651956000,83820000,0,0,5954000,1,88907914,87981000,87981000,0.953,2671180000,0,5354000,0,30.361,2012,6,2
HIW,OFFICE,6/30/12,4/28/20,7/26/12,106741.17,-10779000,3144993000,12.049,-3849000,27284000,47089000,14498000,2.213,1853950000,0,40598000,0,0.051,0.425,38084000,78682000,0.602,13589000,0.17,0.17,899582000,4345363169,29,14.321,67429000,0.903,83646000,0.64,0,24495000,4971659000,0,94145000,1991058000,2518697169,-5688000,-1553000,66897000,-81830000,-31826000,-50838000,-26128000,63000,71278000,0,13589000,12962000,-756000,909000,0.099,49176000,34470000,137108000,2.5,2.8,52.38,50.167,2680215000,627000,33.11,4.924,4.833,135577000,-878984000,130735000,0,2037000,8900000,1,76070588,74662000,78521000,1.751,3144993000,0,0,0,42.123,2012,6,2
CLI,OFFICE,6/30/12,4/24/20,7/26/12,103940.67,0,4270207000,21.047,-20575000,40121000,71526000,11411000,1.171,1929596000,0,48082000,53220000,0.065,0.45,41746000,89828000,0.503,10101000,0.11,0.11,1848256000,4318598383,22,11.023,59083000,0.673,106936000,0.599,0,31645000,6159682000,0,64359000,2163930000,2429123383,-1221000,-187000,0,-15586000,-44978000,-60564000,-20315000,0,79658000,0,10101000,10101000,1316000,1310000,0.057,59889000,47047000,109220000,4.091,1.314,33.51,33.732,3819009000,0,27.66,3.382,3.382,144799000,-690664000,178462000,0,0,11898000,1,87820802,87817000,100069000,2.032,4270207000,0,0,0,48.626,2012,6,2
SHO,LODGING,6/30/12,2/20/20,8/7/12,215635.55,-4799000,3236404000,11.895,-53891000,277855000,106552000,11855000,1.156,1538687000,0,31573000,0,0,0,32413000,63986000,0.269,11540000,0.03,0.03,1427772000,2683322077,36,13.429,8699000,0.072,131288000,0.552,13088000,20873000,4259519000,2666000,39122000,1651055000,1422490077,78350000,-3000000,126102000,-37799000,-7437000,78421000,-62661000,0,62590000,0,11540000,4056000,117000,315000,0.017,98517000,32771000,34761000,0,0.996,-34.833,-29.714,2810409000,7484000,10.4,1.58,1.386,36259000,-351670000,237840000,0,896000,63724000,1,136777892,120029000,120029000,1.982,3223316000,0,0,0,26.854,2012,6,2
SPG,MALL,6/30/12,2/28/20,8/8/12,352284.42,-81656000,31986583000,19.6,-219582000,638499000,249460000,260936000,4.137,22466558000,0,321687000,0,0.024,1,505830000,827517000,0.697,217270000,0.71,0.71,5945181000,69899762059,27,18.737,406654000,1.341,938606000,0.79,0,288560000,53814642000,0,3942662000,24592505000,48071703059,-242050000,-64021000,-179000,-289506000,-365157000,-657444000,-210842000,72761000,626236000,0,216279000,215445000,0,44657000,0.181,414345000,524261000,1168636000,1.408,8.086,32.095,31.32,25236009000,834000,158.48,10.559,10.559,423917000,-2974231000,1188066000,0,0,78386000,1,303329777,303329777,,3.917,31986583000,0,991000,0,105.452,2012,6,2
PDM,OFFICE,6/30/12,4/29/20,8/1/12,127287.91,-6922000,4328308000,15.837,2266000,74915000,53699000,30712000,0.588,1400525000,23668000,38934000,0,0.061,0.2,46366000,85300000,0.638,30708000,0.18,0.18,2725131000,4188455288,14,8.904,32914000,0.191,80017000,0.598,180097000,15658000,5473821000,0,37580000,1601568000,2862845288,-1810000,0,-38878000,48000000,-34484000,-25362000,-7096000,0,30648000,0,30708000,30708000,-10248000,4000,0.23,44141000,35876000,126207000,1.111,1.051,12.03,12.194,3638101000,0,16.95,5.313,5.413,154184000,-934933000,133716000,0,289000,4865000,1,168899427,172077405,172209331,0.777,4148211000,0,0,0,24.107,2012,6,2
RLJ,LODGING,6/30/12,2/27/20,8/8/12,166626.85,-1407000,3340832000,17.033,-219009000,237680000,129269000,19019000,0.851,1420186000,8782000,31454000,0,0.036,0.165,39540000,70994000,0.318,19166000,0.18,0.18,1795088000,3037938922,24,11.791,-171282000,-1.625,93988000,0.421,0,20374000,4523338000,0,12531000,1527658000,1855432922,-105470000,0,-630000,79975000,-17621000,61576000,-214773000,14000,47727000,0,18885000,18885000,634000,134000,0.085,54204000,39784000,91634000,0.917,1.034,43.742,43.5,3016334000,0,17.4,2.34,2.313,29288000,-41803000,223257000,0,1754000,19955000,1,106634076,105388743,105454679,2.118,3340832000,1626000,281000,3292000,31.7,2012,6,2
PEB,LODGING,6/30/12,2/21/20,8/2/12,131474.3,0,1559380000,23.463,-43463000,172232000,62147000,10027000,0.253,260215000,0,9998000,5999000,0.022,0.12,14995000,24993000,0.265,11530000,0.1,0.1,1241403000,1384290685,41,19.146,-21991000,-0.416,32020000,0.34,0,3465000,1647363000,0,170960000,314204000,1296307685,127534000,289000,115210000,48729000,-6394000,148297000,-42235000,0,21472000,0,9864000,5407000,0,163000,0.057,19965000,12055000,46915000,1.2,1.044,291.895,274.875,1165080000,4457000,21.99,3.77,3.384,15937000,-45283000,94167000,0,948000,4810000,1,58949872,52908195,52927862,1.78,1559380000,0,1666000,0,29.473,2012,6,2
COR,DATA CENTER,6/30/12,5/2/20,7/27/12,49142.27,-26000,817050000,11.203,-17055000,14204000,17406000,1848000,0.9,146449000,0,15947000,0,0.025,0.18,2797000,18744000,0.37,1488000,0.04,0.04,230039000,694206974,102,9.911,-2441000,-0.119,33230000,0.656,69444000,1309000,879851000,0,0,206987000,561961974,1528000,-2581000,387000,14417000,-8257000,6550000,-19636000,0,14614000,0,826000,826000,0,1022000,0.016,29416000,3814000,40574000,4.5,2.443,326.343,295.556,687442000,0,26.6,2.984,2.9,8230000,-29643000,50636000,0,1779000,8617000,1,21126390,20532930,20914686,2.466,747606000,0,662000,0,36.41,2012,6,2
CUBE,SELF STORAGE,6/30/12,2/22/20,8/6/12,196330.51,-18710000,2088978000,7.552,-26140000,144414000,27645000,3355000,1.159,994756000,10607000,27811000,0,0.025,0.08,11792000,39603000,0.571,2543000,0.01,0.01,925890000,2353789065,71,18.429,11702000,0.095,41679000,0.601,0,9249000,2939320000,0,14087000,1073029000,1503447065,130331000,267000,204000,131456000,-8617000,116575000,-24086000,0,37842000,0,2543000,1041000,-6452000,812000,0.015,33752000,7927000,67165000,8,1.624,-224.228,-203.333,1883421000,1502000,12.2,5.769,5.739,0,-372082000,69324000,0,1155000,6278000,1,123233366,122599000,122599000,0.565,2088978000,0,0,0,17.039,2012,6,2
LSI,SELF STORAGE,6/30/12,2/26/20,8/7/12,47240.18,-14483000,1382763000,23.119,-50731000,7461000,19406000,11860000,1.045,649339000,7124000,10491000,0,0.032,0.45,20032000,30523000,0.52,11721000,0.41,0.4,667743000,2321331202,31,20.252,-19528000,-0.676,39326000,0.67,0,8311000,2024641000,0,34363000,698038000,1679453202,-5944000,-179000,19924000,6958000,-13045000,13684000,-50831000,0,31203000,0,11721000,11721000,-307000,139000,0.2,19667000,19659000,26618000,1.098,2.515,47.37,45.262,1315244000,0,57.03,7.407,7.265,3542000,-175563000,58732000,0,848000,7970000,1,29448592,28883464,29000996,2.033,1382763000,0,0,0,47.874,2012,6,2
WRE,OFFICE,6/30/12,4/27/20,8/8/12,82346.72,0,2153671000,12.324,-64851000,34220000,25479000,6008000,1.633,1253921000,0,25591000,9827000,0.065,0.43,21541000,47132000,0.614,6008000,0.09,0.09,816339000,2980536613,18,11.021,-33290000,-0.503,51298000,0.668,0,15533000,3373372000,0,0,1333456000,1760835613,-3442000,0,103000,60553000,-28907000,29848000,-64851000,0,31561000,0,6008000,6008000,0,0,0.078,30009000,21289000,54413000,4.778,2.157,16.788,16.804,1946327000,0,26.55,5.832,5.825,57493000,-326714000,76777000,0,1334000,4164000,1,66321492,66241000,66380000,1.159,2153671000,0,0,0,32.513,2012,6,2
BDN,OFFICE,6/30/12,4/28/20,8/3/12,172959.94,-16449000,4669170000,12.995,-1895000,190055000,53304000,6802000,1.49,2509841000,0,50171000,0,0.049,0.15,39948000,90119000,0.655,6771000,0.01,0.01,1862124000,4073677630,27,11.293,29504000,0.206,84272000,0.613,57927000,33177000,6931029000,0,182590000,2775441000,1753891630,-94181000,-5001000,276000,-166241000,-23440000,-143522000,17942000,32203000,31399000,0,6771000,1537000,-10949000,31000,0.011,55410000,28862000,82542000,15,0.942,273.362,305.75,3908664000,5234000,12.23,3.09,3.088,124825000,-949396000,137576000,0,133000,6079000,1,143408964,143300637,143300637,0.96,4611243000,0,0,0,32.179,2012,6,2
RHP,LODGING,6/30/12,2/26/20,8/7/12,55370.48,-36031000,2546347000,21.739,-29054000,30654000,139216000,8954000,1.384,1035206000,0,30254000,0,0,0,34719000,64973000,0.257,20268000,0.18,0.17,1068212000,2876689417,29,12.573,36181000,0.736,114013000,0.45,0,14451000,3398267000,0,145271000,1478135000,1872137417,9642000,0,3601000,-30000000,0,-26585000,-29008000,0,65235000,0,8954000,8954000,19000,0,0.035,82405000,31608000,151735000,0,1.753,101.312,100.263,2200616000,0,38.1,1.897,1.897,54194000,170759000,253229000,0,2921000,51771000,1,49137465,49137465,,5.153,2546347000,4993000,11314000,119817000,51.821,2012,6,2
APLE,LODGING,6/30/12,2/24/20,8/13/12,223216.63,0,1552282000,15.231,130901000,7388000,27656000,22558000,0.119,152602000,0,13166000,0,,0,24137000,37303000,0.384,22558000,0.24,0.24,1386868000,,,,168390000,1.849,69454000,0.715,0,1579000,1697496000,0,0,165414000,,4544000,-14837000,-3208000,29373000,-175395000,-149394000,116449000,0,37489000,0,22558000,22558000,-1525000,0,0.232,46842000,22612000,12812000,0,,,,1480164000,0,,,,43186000,-414715000,97110000,0,0,17494000,1,90847113,91055000,91055000,1.066,1552282000,0,0,0,17.048,2012,6,2
HT,LODGING,6/30/12,2/26/20,8/6/12,43435.55,-1325000,1668792000,16.995,-89394000,33291000,56376000,17389000,0.939,739344000,0,14595000,0,0.048,0.24,27034000,41629000,0.43,16593000,0.28,0.28,843545000,1694767041,52,18.699,-67928000,-1.369,40330000,0.417,9415000,10441000,2365430000,0,16389000,791793000,988714041,7470000,65925000,128697000,-107754000,-10831000,6512000,-20508000,2961000,21466000,0,16593000,13093000,-7100000,796000,0.135,19608000,20722000,36834000,0.857,1.172,-38.984,-33.2,1472232000,3500000,19.92,3.095,3.095,55896000,-330858000,96706000,0,2266000,5340000,1,49634239,49634239,47252998,1.948,1659377000,0,0,0,33.432,2012,6,2
WELL,HEALTH CARE,6/30/12,2/14/20,8/6/12,418585.3,-13590000,16347426000,37.743,-463961000,284514000,136303000,76875000,1.003,7685500000,0,132963000,0,0.048,0.74,174111000,307074000,0.678,79143000,0.26,0.25,8058073000,20415842505,34,18.553,-286967000,-1.344,316779000,0.699,68321000,94968000,23680091000,0,760962000,8085565000,13014856505,-264322000,-227554000,32488000,672544000,-175303000,248689000,-690005000,-1207000,176994000,0,77696000,54735000,-39433000,-821000,0.121,186478000,130301000,0,2.846,1.615,82.408,75.75,14765955000,22961000,60.6,7.767,7.721,407077000,-1285789000,453082000,0,2311000,25870000,1,214766609,213498000,215138000,2.122,16279105000,0,1447000,0,76.249,2012,6,2
AHT,LODGING,6/30/12,3/13/20,8/3/12,12993.2,-261000,3524679000,13.571,-20833000,216024000,167897000,-5940000,2.684,2318943000,0,34184000,0,0.043,0.07,33141000,67325000,0.27,-3448000,-0.2,-0.2,917942000,2659136497,31,11.943,35110000,0.519,81236000,0.326,2765000,36589000,5624833000,2366000,233500000,2463781000,556217497,-10920000,0,0,-39719000,-18103000,-46091000,-20772000,61000,55943000,0,-4814000,-13304000,0,-1126000,-0.053,50139000,31097000,98708000,-0.35,0.606,-6.193,-6,2929113000,16980000,8.16,0.603,0.598,103282000,-679533000,249133000,0,4223000,11930000,1,68163909,67639000,67639000,3.683,3521914000,0,1366000,0,52.069,2012,6,2
EQIX,DATA CENTER,6/30/12,2/22/20,7/27/12,90480.55,-155777000,5724688000,43.061,-196484000,654096000,233192000,37640000,1.732,2893473000,0,95562000,0,0,0,100592000,196154000,0.421,53805000,0.76,0.73,2067621000,11238376598,31,15.23,-1702000,-0.035,233072000,0.5,1001386000,46787000,6471520000,0,168925000,3581213000,8998999598,21152000,0,6013000,-270729000,0,-264716000,93880000,279621000,194782000,-2794000,36447000,36447000,0,1193000,0.078,130406000,102666000,224989000,0,4.352,82.485,90.222,3525839000,0,186.76,5.092,5.074,169812000,-184125000,466264000,0,20549000,128487000,1,48184834,48016000,52351000,9.711,4723302000,0,17358000,0,98.369,2012,6,2
INN,LODGING,6/30/12,2/26/20,8/9/12,107304.65,-228980,621492416,8.456,-25620269,14731205,31442832,-356791,1.223,298432922,0,8177333,0,0.071,0.226,4044773,12222106,0.259,-225950,-0.04,-0.04,258343427,533821396,75,13.373,-15388265,-0.504,15837311,0.335,0,4270723,905194133,0,0,316054132,250119679,753263,16784412,-26104,7225761,0,865240,-10343981,0,10232004,0,-81849,-1238099,1027340,-274942,-0.026,10904305,4933006,1933060,-5.65,0.968,-37.112,-33.083,577552628,1156250,7.94,1.524,1.478,6946025,-21666806,47280143,0,388695,711770,1,31501219,30553158,30553158,1.547,621492416,2971350,-144101,0,20.341,2012,6,2
DLR,DATA CENTER,6/30/12,3/3/20,8/7/12,276998.22,-55701000,6717113000,24.489,-311317000,83099000,103345000,53968000,1.48,3400212000,0,73654000,0,0.037,0.73,91221000,164875000,0.543,53540000,0.38,0.38,2687964000,12600829841,38,20.839,-150654000,-1.373,200359000,0.66,0,37681000,10034226000,0,0,3978929000,9283716841,21534000,-26796000,707000,129023000,-83981000,190474000,-329603000,0,160663000,0,52334000,42021000,0,1634000,0.138,111910000,88449000,372974000,1.921,3.454,62.253,53.972,5795798000,10313000,76.1,8.209,7.386,96609000,-566273000,303704000,0,3774000,15109000,1,121993651,109761017,110166082,2.767,6717113000,0,1206000,0,61.198,2012,6,2
PEAK,HEALTH CARE,6/30/12,2/13/20,7/31/12,544970.26,-19703000,17789768000,22.611,-58701000,212418000,70087000,204975000,0.852,7641998000,68548000,87924000,0,0.042,0.5,305425000,393349000,0.847,202200000,0.48,0.48,9507230000,27707390808,26,19.771,238382000,0.567,394352000,0.849,347670000,103225000,24871678000,0,7150327000,8098829000,20277810808,-177789000,0,385568000,-67466000,-211785000,-192476000,-282396000,-225184000,297083000,0,202024000,201467000,0,2951000,0.434,102736000,291616000,273344000,1.042,2.133,33.512,32.336,9318387000,557000,47.21,11.09,10.856,25974000,-1062049000,464439000,0,6034000,14812000,1,429523635,420468000,421671000,1.105,17442098000,0,176000,0,41.483,2012,6,2
HST,LODGING,9/30/12,2/25/20,10/15/12,713791.97,9000000,13042000000,9.518,-124000000,289000000,903000000,-36000000,0.861,5495000000,0,161000000,0,0.016,0.08,70000000,231000000,0.192,-23000000,-0.05,-0.05,6898000000,16635311837,36,14.44,-1000000,-0.001,301000000,0.25,0,93000000,18248000000,0,227000000,5941000000,11429311837,-211000000,-429000000,33000000,255000000,-51000000,219000000,-553000000,0,123000000,0,-34000000,-34000000,0,-2000000,-0.028,235000000,66000000,105000000,-1.6,1.657,181.418,175.222,11731000000,0,15.77,2.192,2.192,98000000,-1126000000,1204000000,0,0,76000000,1,724750275,724750275,,1.661,13042000000,0,11000000,0,17.995,2012,9,3
DRH,LODGING,9/30/12,3/1/20,10/15/12,201736.36,0,2973242000,8.719,-426882000,81867000,129534000,-44779000,0.748,1018471000,24414000,23082000,0,0.036,0.08,-32963000,-9881000,-0.054,-45695000,-0.24,-0.24,1701402000,2671449335,181,23.983,-401056000,-2.055,54339000,0.296,0,12732000,3909846000,0,54237000,1271840000,1734845335,-83220000,0,199831000,117893000,0,317724000,-426770000,248000,25826000,0,-44779000,-44779000,14089000,0,-0.244,73273000,-18934000,130730000,-0.333,1.02,-61.334,-63.5,2606853000,0,8.89,2.635,2.635,70569000,-283953000,183873000,0,968000,6227000,1,195145707,195145707,,0.942,2973242000,0,-916000,0,15.236,2012,9,3
WELL,HEALTH CARE,9/30/12,2/14/20,11/7/12,418585.3,-10432000,18282275000,46.152,-815842000,1522656000,144479000,53506000,0.746,7319025000,0,132858000,0,0.05,0.74,149287000,282145000,0.595,54707000,0.17,0.16,10356027000,21182548771,35,18.828,-603410000,-2.689,329660000,0.695,68321000,94580000,24010323000,0,741460000,7724823000,15386179771,1177357000,12411000,2415967000,-400841000,-176034000,1834697000,-869772000,-3001000,212432000,0,53871000,37269000,-11726000,-365000,0.079,164093000,165567000,0,4.353,1.486,97.017,77.961,15500949000,16602000,59.25,8.718,7.533,391350000,-1407951000,474139000,0,2595000,23679000,1,259682359,224391000,226258000,2.113,18213954000,0,836000,0,81.171,2012,9,3
ROIC,STRIP CENTER,9/30/12,4/23/20,11/5/12,128529.92,-19248213,820427924,8.92,-43000987,28000387,4854309,2618768,0.738,260410880,0,7070557,1863914,0.04,0.14,5712791,12783348,0.677,2618768,0.05,0.05,472102136,907185297,48,19.559,-33684880,-0.636,14034965,0.743,0,3094023,1052838417,0,0,348323399,674774804,13334823,7878000,23481568,25719662,-7223064,39174759,-35156043,0,9316107,0,2618768,2618768,0,0,0.139,10964600,3070365,8037939,2.8,1.429,80.287,75,724569193,0,12.75,9.598,9.598,10939801,-31186583,18889274,0,973840,3699852,1,52923514,52923514,,0.357,820427924,0,0,0,15.502,2012,9,3
RPAI,STRIP CENTER,9/30/12,2/20/20,11/6/12,215096,7836000,5482588000,9.875,-10123000,107423000,42592000,-15952000,1.407,2931899000,0,57479000,0,0.027,0.17,33504000,90983000,0.626,-15952000,-0.07,-0.07,2277081000,5712133321,33,14.053,24700000,0.107,102700000,0.707,139442000,49456000,8167622000,0,62964000,3204013000,2887657321,5077000,-526000,0,-201149000,-38200000,-239746000,210000000,20080000,34823000,0,-15952000,-15952000,3032000,0,-0.11,65443000,37257000,125925000,-2.429,1.268,-101.674,-86.345,4926173000,0,12.52,4.829,4.828,79709000,-2436010000,145292000,0,0,7227000,1,230643556,230597000,230597000,0.63,5343146000,0,0,0,23.171,2012,9,3
EXR,SELF STORAGE,9/30/12,2/26/20,11/5/12,143405.91,-14956000,3012922000,12.225,-323004000,66992000,31494000,41553000,1.32,1590127000,0,19768000,0,0.021,0.2,58685000,78453000,0.715,40262000,0.37,0.37,1274516000,5158779318,30,21.369,-262664000,-2.52,78297000,0.713,0,18423000,4536057000,0,121269000,1682770000,3635644318,-141894000,0,2787000,130894000,-20864000,106920000,-309154000,0,60340000,0,38606000,38606000,0,2947000,0.352,34813000,43484000,49609000,0.541,2.853,37.284,35.561,2741945000,0,34.85,9.348,9.341,10930000,-243546000,109791000,0,997000,12559000,1,104322649,104252227,108755316,1.053,3012922000,0,1656000,0,28.9,2012,9,3
SPG,MALL,9/30/12,2/28/20,11/7/12,352284.42,-64776000,31977977000,18.884,-245841000,452712000,264628000,306371000,4.246,22569634000,0,320121000,0,0.026,1.05,544554000,864675000,0.704,255658000,0.84,0.84,5841677000,70282593686,27,18.493,382114000,1.235,963989000,0.785,0,288896000,54094899000,0,3958779000,24802930000,48165671686,-185787000,-17039000,-248192000,174414000,-381412000,-455862000,-357880000,-100108000,627955000,0,255755000,254921000,0,50616000,0.207,404217000,559772000,1204438000,1.25,8.245,32.573,31.328,25265661000,834000,155.7,10.233,10.233,456397000,-3057328000,1228617000,0,0,69336000,1,309349208,309349208,,3.972,31977977000,0,-97000,0,103.372,2012,9,3
SHO,LODGING,9/30/12,2/20/20,11/6/12,215635.55,-4740000,3144942000,10.796,-72113000,241259000,105804000,39556000,1.047,1411311000,0,33051000,0,0,0,59257000,92308000,0.418,39548000,0.23,0.23,1460012000,2551504043,20,9.955,-23399000,-0.173,115275000,0.521,13088000,19709000,4122418000,2664000,0,1528009000,1381452043,-39399000,3000000,0,-6335000,-7437000,-15255000,-72858000,0,48714000,0,39548000,30932000,-39984000,8000,0.14,96012000,19263000,34317000,0,0.946,98.247,126.25,2800682000,7789000,10.1,1.519,1.502,28534000,-320378000,221079000,0,812000,59483000,1,136777430,135236000,135236000,1.635,3131854000,0,0,0,23.158,2012,9,3
